City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,wotho,10.1657,166.0102,83.03,77,16,18.59,MH,1731291309
342,naracoorte,-36.9579,140.7383,79.7,28,100,3.58,AU,1731291310
343,patterson,37.4716,-121.1297,57.99,58,5,4.14,US,1731291311
344,gulf shores,30.246,-87.7008,76.01,84,20,8.05,US,1731291217
345,manggar,-2.8833,108.2667,86.0,63,97,7.36,ID,1731291314
346,makarov,48.6333,142.8,35.4,63,39,17.92,RU,1731291315
347,greenville,35.6127,-77.3663,66.22,88,100,7.34,US,1731291316
348,qui nhon,13.7667,109.2333,79.18,74,22,1.48,VN,1731291317
349,ust'-kulom,61.6864,53.6902,20.16,92,61,7.05,RU,1731291319
350,ambon,-3.6954,128.1814,87.94,70,40,4.61,ID,1731291320
351,bishkul,54.7803,69.1033,13.14,95,25,8.7,KZ,1731291322
352,souillac,-20.5167,57.5167,77.38,88,75,5.75,MU,1731291324
353,brisas de zicatela,15.8369,-97.0419,81.12,83,0,0.0,MX,1731291325
354,gambela,8.25,34.5833,70.23,82,0,4.59,ET,1731291326
355,ilebo,-4.3167,20.5833,67.62,99,100,0.13,CD,1731291327
356,hobyo,5.3505,48.5268,78.26,79,100,18.7,SO,1731291328
357,ivdel',60.6911,60.4206,15.15,80,4,6.2,RU,1731291331
358,aras-asan,8.8908,126.3033,83.93,71,96,5.5,PH,1731291333
359,mani,4.8172,-72.2886,74.12,91,100,3.31,CO,1731291335
